GMT,CFDM1,CFDM1
,QME,SQME
1963-03-29 00:00:00,31.997902,60.082783
1963-03-30 00:00:00,42.475403,60.297665
1963-03-31 00:00:00,41.0593,52.369514
1963-04-01 00:00:00,39.643505,45.196655
1963-04-02 00:00:00,38.22771,43.35292
1963-04-03 00:00:00,41.0593,46.5457
1963-04-04 00:00:00,52.386276,60.155323
1963-04-05 00:00:00,50.970177,67.39463
1963-04-06 00:00:00,54.93471,78.34975
1963-04-07 00:00:00,50.1207,67.981064
1963-04-08 00:00:00,46.43963,56.33801
1963-04-09 00:00:00,45.30699,53.27294
1963-04-10 00:00:00,37.661392,47.5933
1963-04-11 00:00:00,35.112957,44.320354
1963-04-12 00:00:00,35.679276,44.58279
1963-04-13 00:00:00,41.625618,53.8292
1963-04-14 00:00:00,52.952595,61.03833
1963-04-15 00:00:00,53.802074,60.577168
1963-04-16 00:00:00,57.199986,61.968884
1963-04-17 00:00:00,59.465256,66.58691
1963-04-18 00:00:00,60.88136,70.37953
1963-04-19 00:00:00,67.67718,73.155655
1963-04-20 00:00:00,75.8891,74.78572
1963-04-21 00:00:00,78.15437,77.83616
1963-04-22 00:00:00,85.23366,87.08593
1963-04-23 00:00:00,83.5347,84.89594
1963-04-24 00:00:00,78.43753,76.30028
1963-04-25 00:00:00,69.09297,71.79411
1963-04-26 00:00:00,60.88136,70.12167
1963-04-27 00:00:00,51.819958,60.87587
1963-04-28 00:00:00,45.30699,53.04099
1963-04-29 00:00:00,41.34246,47.290325
1963-04-30 00:00:00,37.94455,42.20657
1963-05-01 00:00:00,35.679276,42.226685
1963-05-02 00:00:00,72.49119,83.9663
1963-05-03 00:00:00,104.20593,100.71536
1963-05-04 00:00:00,101.374344,101.40878
1963-05-05 00:00:00,81.26943,86.90335
1963-05-06 00:00:00,62.580315,74.30536
1963-05-07 00:00:00,49.83754,62.06459
1963-05-08 00:00:00,41.0593,48.804573
1963-05-09 00:00:00,34.26348,39.641678
